Auction,VehicleAge,Make,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,IsBadBuy
OTHER,4,GMC,AUTO,NULL,91823,AMERICAN,MEDIUM,GM,9661,9057,0
MANHEIM,4,PONTIAC,AUTO,Alloy,69651,AMERICAN,LARGE,GM,9301,11422,1
MANHEIM,6,FORD,AUTO,Alloy,74691,AMERICAN,SMALL,FORD,4761,6722,0
MANHEIM,4,CHRYSLER,AUTO,Alloy,85117,AMERICAN,MEDIUM,CHRYSLER,5496,7565,0
ADESA,2,CHEVROLET,AUTO,Covers,75695,AMERICAN,MEDIUM,GM,12045,14185,0
OTHER,6,CHRYSLER,AUTO,Covers,88958,AMERICAN,SPECIAL,CHRYSLER,3749,3716,0
ADESA,5,CHEVROLET,AUTO,Alloy,62566,AMERICAN,MEDIUM,GM,8595,8159,0
MANHEIM,4,DODGE,AUTO,Alloy,86239,AMERICAN,SPECIAL,CHRYSLER,6616,6039,0
ADESA,4,CHRYSLER,AUTO,Covers,85104,AMERICAN,SPECIAL,CHRYSLER,8209,9808,1
OTHER,6,CHEVROLET,AUTO,Covers,82230,AMERICAN,SMALL,GM,2970,2825,0
OTHER,4,CHEVROLET,AUTO,Covers,80458,AMERICAN,MEDIUM,GM,5186,4561,0
MANHEIM,4,MITSUBISHI,AUTO,Covers,58067,ASIAN,MEDIUM,OTHER,7466,7227,0
MANHEIM,4,DODGE,AUTO,Covers,61242,AMERICAN,MEDIUM,CHRYSLER,6584,6515,0
MANHEIM,2,CHEVROLET,AUTO,Alloy,61243,AMERICAN,LARGE,GM,9727,9341,0
MANHEIM,6,FORD,AUTO,Alloy,85748,AMERICAN,MEDIUM,FORD,5594,5351,0
OTHER,4,FORD,AUTO,Alloy,70050,AMERICAN,LARGE,FORD,11274,10866,0
MANHEIM,7,KIA,AUTO,Alloy,80349,ASIAN,MEDIUM,OTHER,6671,7943,0
ADESA,4,CHEVROLET,AUTO,Alloy,57587,AMERICAN,MEDIUM,GM,8346,7967,0
MANHEIM,7,BUICK,AUTO,Alloy,70969,AMERICAN,LARGE,GM,4833,4601,0
OTHER,4,CHEVROLET,AUTO,NULL,75652,AMERICAN,MEDIUM,GM,9852,9222,1
MANHEIM,3,NISSAN,AUTO,Alloy,71345,ASIAN,LARGE,OTHER,16405,15814,0
ADESA,7,CHRYSLER,AUTO,Covers,80013,AMERICAN,MEDIUM,CHRYSLER,3509,5553,1
MANHEIM,4,CHRYSLER,AUTO,Alloy,79463,AMERICAN,MEDIUM,CHRYSLER,7217,6618,0
ADESA,4,CHEVROLET,AUTO,Covers,81303,AMERICAN,LARGE,GM,7829,9527,0
MANHEIM,2,CHEVROLET,AUTO,Alloy,55644,AMERICAN,SPECIAL,GM,7371.82,8494.94,0
MANHEIM,4,CHEVROLET,AUTO,Alloy,85112,AMERICAN,SMALL,GM,5943,5678,0
MANHEIM,3,KIA,MANUAL,Alloy,54500,ASIAN,MEDIUM,OTHER,4915,4851,1
ADESA,4,CHRYSLER,AUTO,Covers,71819,AMERICAN,SPECIAL,CHRYSLER,7033,6219,0
MANHEIM,3,KIA,AUTO,NULL,56144,ASIAN,MEDIUM,OTHER,8092,7278,0
ADESA,5,CHEVROLET,AUTO,Alloy,80980,AMERICAN,MEDIUM,GM,8046,7538,0
ADESA,4,CHEVROLET,AUTO,Alloy,71481,AMERICAN,LARGE,GM,7371.82,8494.94,0
ADESA,3,CHRYSLER,AUTO,Covers,82741,AMERICAN,SPECIAL,CHRYSLER,6918,11479,0
MANHEIM,2,DODGE,AUTO,Covers,76179,AMERICAN,MEDIUM,CHRYSLER,8303,11160,0
MANHEIM,6,CHEVROLET,AUTO,NULL,76807,AMERICAN,SMALL,GM,3951,5661,0
MANHEIM,4,CHRYSLER,AUTO,Covers,79977,AMERICAN,SPECIAL,CHRYSLER,12172,13681,0
OTHER,6,FORD,AUTO,Covers,97302,AMERICAN,SPECIAL,FORD,5277,7943,0
MANHEIM,5,HONDA,AUTO,Covers,81105,ASIAN,SMALL,OTHER,7992,11041,0
MANHEIM,3,DODGE,AUTO,Covers,59114,AMERICAN,SPECIAL,CHRYSLER,10794,10820,0
ADESA,5,MITSUBISHI,AUTO,Alloy,73394,ASIAN,MEDIUM,OTHER,5798,7603,0
OTHER,2,DODGE,AUTO,Covers,49997,AMERICAN,MEDIUM,CHRYSLER,7371.82,8494.94,0
MANHEIM,3,KIA,AUTO,Alloy,57756,ASIAN,MEDIUM,OTHER,5575,5387,0
MANHEIM,3,CHEVROLET,AUTO,Covers,87589,AMERICAN,LARGE,GM,9027,11396,0
OTHER,1,CHRYSLER,AUTO,Covers,50425,AMERICAN,MEDIUM,CHRYSLER,8448,9085,0
MANHEIM,3,PONTIAC,AUTO,Covers,57545,AMERICAN,MEDIUM,GM,8245,7798,0
MANHEIM,3,CHEVROLET,AUTO,Covers,80423,AMERICAN,SMALL,GM,6774,9071,0
MANHEIM,3,CHEVROLET,AUTO,Covers,89529,AMERICAN,LARGE,GM,9087,11365,0
MANHEIM,4,DODGE,AUTO,Alloy,63629,AMERICAN,MEDIUM,CHRYSLER,4237,6699,0
OTHER,5,MITSUBISHI,AUTO,Alloy,56914,ASIAN,MEDIUM,OTHER,7600,9653,0
ADESA,6,GMC,AUTO,Alloy,88634,AMERICAN,MEDIUM,GM,6988,6869,0
ADESA,3,CHEVROLET,AUTO,Alloy,70300,AMERICAN,LARGE,GM,9673,12027,0
OTHER,2,CHEVROLET,AUTO,Alloy,68600,AMERICAN,MEDIUM,GM,7600,7271,0
ADESA,4,CHRYSLER,AUTO,Covers,45087,AMERICAN,MEDIUM,CHRYSLER,6544,8447,0
MANHEIM,5,FORD,AUTO,Alloy,80384,AMERICAN,MEDIUM,FORD,7123,9909,0
ADESA,2,DODGE,AUTO,Covers,78534,AMERICAN,SPECIAL,CHRYSLER,12010,13861,0
ADESA,4,NISSAN,AUTO,Covers,89886,ASIAN,SMALL,OTHER,6411,5929,0
MANHEIM,5,FORD,AUTO,Alloy,76986,AMERICAN,LARGE,FORD,9922,11891,0
MANHEIM,4,CHRYSLER,AUTO,Covers,93216,AMERICAN,SPECIAL,CHRYSLER,8538,10287,0
MANHEIM,3,FORD,AUTO,Alloy,70429,AMERICAN,SPECIAL,FORD,12771,15114,0
MANHEIM,6,BUICK,AUTO,Alloy,67981,AMERICAN,MEDIUM,GM,6503,8386,0
MANHEIM,3,CHEVROLET,AUTO,Covers,66854,AMERICAN,LARGE,GM,8151,7916,0
MANHEIM,3,FORD,AUTO,Covers,54194,AMERICAN,MEDIUM,FORD,6155,9282,0
MANHEIM,3,CHRYSLER,AUTO,Alloy,60023,AMERICAN,MEDIUM,CHRYSLER,7112,9372,0
ADESA,2,CHEVROLET,AUTO,Covers,78851,AMERICAN,LARGE,GM,8877,8748,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,87757,AMERICAN,SPECIAL,GM,5525,4723,0
OTHER,2,FORD,AUTO,Covers,78553,AMERICAN,SPECIAL,FORD,8445,11406,0
ADESA,3,CHRYSLER,AUTO,Alloy,68904,AMERICAN,MEDIUM,CHRYSLER,12525,11897,0
ADESA,3,FORD,AUTO,Alloy,71826,AMERICAN,LARGE,FORD,11191,13222,0
OTHER,7,FORD,AUTO,Alloy,82840,AMERICAN,MEDIUM,FORD,7172,9431,0
OTHER,6,DODGE,AUTO,Covers,84462,AMERICAN,MEDIUM,CHRYSLER,4976,6728,0
ADESA,2,CHEVROLET,MANUAL,Covers,67180,AMERICAN,SMALL,GM,6785,6926,0
OTHER,5,CHRYSLER,AUTO,Covers,85888,AMERICAN,MEDIUM,CHRYSLER,2957,3006,0
OTHER,6,CHEVROLET,AUTO,Alloy,87365,AMERICAN,LARGE,GM,12348,13561,1
MANHEIM,3,FORD,AUTO,Alloy,78660,AMERICAN,LARGE,FORD,10651,12660,0
MANHEIM,3,CHEVROLET,AUTO,Alloy,47125,AMERICAN,MEDIUM,GM,7304,7239,0
MANHEIM,6,FORD,AUTO,Alloy,94370,AMERICAN,SPECIAL,FORD,3625,3391,0
MANHEIM,7,CHEVROLET,AUTO,Alloy,63708,AMERICAN,MEDIUM,GM,7423,9244,0
MANHEIM,7,CHEVROLET,AUTO,Covers,47887,AMERICAN,SPECIAL,GM,4336,3486,0
MANHEIM,7,CHEVROLET,AUTO,Covers,47084,AMERICAN,SPECIAL,GM,4336,3486,1
OTHER,6,DODGE,AUTO,Covers,54269,AMERICAN,SMALL,CHRYSLER,2728,2724,1
MANHEIM,4,MAZDA,MANUAL,Alloy,76303,ASIAN,SMALL,OTHER,6960,8541,0
OTHER,8,FORD,AUTO,Alloy,81460,AMERICAN,SPECIAL,FORD,2868,2618,0
MANHEIM,2,SATURN,AUTO,Covers,70204,AMERICAN,MEDIUM,GM,8124,8030,1
MANHEIM,4,DODGE,AUTO,Alloy,82953,AMERICAN,LARGE,CHRYSLER,12880,16162,0
MANHEIM,4,CHEVROLET,AUTO,Covers,79660,AMERICAN,LARGE,GM,11910,11706,0
MANHEIM,3,MITSUBISHI,AUTO,Covers,61362,ASIAN,MEDIUM,OTHER,7696,10198,0
OTHER,4,NISSAN,AUTO,Alloy,89495,ASIAN,MEDIUM,OTHER,7566,6922,0
MANHEIM,4,JEEP,AUTO,Covers,73194,AMERICAN,SMALL,CHRYSLER,9747,11922,0
MANHEIM,3,DODGE,AUTO,Covers,45933,AMERICAN,SPECIAL,CHRYSLER,7142,6847,0
ADESA,4,DODGE,AUTO,Covers,73562,AMERICAN,SPECIAL,CHRYSLER,6312,5744,0
ADESA,3,CHEVROLET,AUTO,Alloy,75687,AMERICAN,LARGE,GM,8736,12095,0
MANHEIM,5,CHEVROLET,AUTO,Alloy,86956,AMERICAN,MEDIUM,GM,10635,13735,0
OTHER,2,DODGE,AUTO,Covers,49701,AMERICAN,MEDIUM,CHRYSLER,8580,11073,0
OTHER,2,MAZDA,AUTO,Alloy,51096,ASIAN,MEDIUM,OTHER,11179,13404,0
MANHEIM,4,FORD,AUTO,Alloy,84983,AMERICAN,SPECIAL,FORD,7548,6782,0
MANHEIM,5,CHEVROLET,AUTO,Alloy,72483,AMERICAN,MEDIUM,GM,8607,8103,0
MANHEIM,4,MERCURY,AUTO,Alloy,53174,AMERICAN,SMALL,FORD,7906,7809,0
MANHEIM,7,CHEVROLET,AUTO,Alloy,86990,AMERICAN,MEDIUM,GM,5121,4982,1
OTHER,7,DODGE,AUTO,Alloy,85506,AMERICAN,MEDIUM,CHRYSLER,5690,5287,0
MANHEIM,3,CHEVROLET,AUTO,Alloy,87833,AMERICAN,SMALL,GM,10235,9575,0
MANHEIM,3,CHRYSLER,AUTO,Covers,80447,AMERICAN,SPECIAL,CHRYSLER,9178,8145,0
MANHEIM,4,CHEVROLET,AUTO,Alloy,74770,AMERICAN,MEDIUM,GM,10204,12435,0
ADESA,5,JEEP,AUTO,NULL,66718,AMERICAN,SMALL,CHRYSLER,7211,6924,1
MANHEIM,3,TOYOTA,AUTO,Special,59532,ASIAN,SMALL,OTHER,7977,11196,0
MANHEIM,3,FORD,AUTO,Covers,76360,AMERICAN,MEDIUM,FORD,9629,11483,0
MANHEIM,4,SATURN,AUTO,Covers,36215,AMERICAN,MEDIUM,GM,5896,5385,0
MANHEIM,8,SATURN,AUTO,Alloy,54216,AMERICAN,MEDIUM,GM,4165,5687,0
MANHEIM,4,DODGE,AUTO,Covers,74985,AMERICAN,LARGE,CHRYSLER,11912,14756,1
MANHEIM,3,PONTIAC,AUTO,Alloy,84826,AMERICAN,SPECIAL,GM,7371.82,8494.94,0
MANHEIM,6,PONTIAC,AUTO,Alloy,86725,AMERICAN,LARGE,GM,4863,7048,0
OTHER,5,CHEVROLET,AUTO,Alloy,91933,AMERICAN,MEDIUM,GM,7515,7225,0
MANHEIM,5,DODGE,AUTO,Alloy,72363,AMERICAN,MEDIUM,CHRYSLER,6127,5275,0
MANHEIM,7,SATURN,AUTO,Alloy,66086,AMERICAN,MEDIUM,GM,4089,4022,0
OTHER,3,FORD,AUTO,Alloy,83975,AMERICAN,MEDIUM,FORD,5705,5386,0
MANHEIM,3,KIA,AUTO,Alloy,66339,ASIAN,MEDIUM,OTHER,7792,11886,0
OTHER,1,DODGE,AUTO,Covers,46107,AMERICAN,MEDIUM,CHRYSLER,8781,9003,0
OTHER,2,DODGE,AUTO,NULL,50738,AMERICAN,MEDIUM,CHRYSLER,8399,10687,1
MANHEIM,1,CHEVROLET,AUTO,Covers,81384,AMERICAN,LARGE,GM,10449,10523,0
MANHEIM,5,MAZDA,MANUAL,Alloy,66229,ASIAN,MEDIUM,OTHER,7998,10587,0
MANHEIM,6,DODGE,AUTO,Covers,26320,AMERICAN,MEDIUM,CHRYSLER,5375,6804,0
OTHER,2,DODGE,AUTO,Alloy,88362,AMERICAN,MEDIUM,CHRYSLER,12625,14306,0
MANHEIM,3,CHEVROLET,AUTO,Covers,62595,AMERICAN,LARGE,GM,9056,11521,0
OTHER,7,CHEVROLET,AUTO,Alloy,80034,AMERICAN,MEDIUM,GM,3374,5389,0
MANHEIM,4,DODGE,AUTO,Alloy,72681,AMERICAN,SPECIAL,CHRYSLER,7709,9833,0
MANHEIM,5,FORD,AUTO,Alloy,76235,AMERICAN,SPECIAL,FORD,5810,5644,0
MANHEIM,4,CHEVROLET,MANUAL,Alloy,61515,AMERICAN,MEDIUM,GM,7887,10731,0
MANHEIM,5,FORD,AUTO,Alloy,81110,AMERICAN,LARGE,FORD,9850,9773,0
OTHER,4,CHEVROLET,AUTO,Covers,86421,AMERICAN,MEDIUM,GM,8283,10365,0
OTHER,5,FORD,AUTO,Alloy,81474,AMERICAN,MEDIUM,FORD,4333,4241,0
ADESA,3,FORD,AUTO,Covers,72151,AMERICAN,SPECIAL,FORD,4560,3836,0
MANHEIM,4,SATURN,AUTO,Alloy,89630,AMERICAN,SPECIAL,GM,8987,8313,0
ADESA,3,DODGE,AUTO,Alloy,61582,AMERICAN,LARGE,CHRYSLER,11056,13297,0
MANHEIM,6,CHRYSLER,AUTO,Alloy,80636,AMERICAN,MEDIUM,CHRYSLER,4838,7098,0
ADESA,3,HYUNDAI,AUTO,Alloy,65107,ASIAN,MEDIUM,OTHER,8658,7714,0
OTHER,5,CHEVROLET,AUTO,Covers,88624,AMERICAN,LARGE,GM,4910,4434,1
MANHEIM,4,CHEVROLET,AUTO,Covers,98165,AMERICAN,LARGE,GM,5674,5054,0
OTHER,4,DODGE,AUTO,Alloy,62827,AMERICAN,MEDIUM,CHRYSLER,5946,5759,0
MANHEIM,4,FORD,AUTO,Alloy,62565,AMERICAN,LARGE,FORD,6949,9484,0
ADESA,5,HYUNDAI,AUTO,Covers,78778,ASIAN,SMALL,OTHER,3512,3498,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,90134,AMERICAN,LARGE,GM,8647,7275,0
MANHEIM,2,CHEVROLET,AUTO,Covers,93221,AMERICAN,LARGE,GM,9089,12199,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,97952,AMERICAN,LARGE,GM,10837,12708,0
ADESA,6,FORD,MANUAL,Covers,75054,AMERICAN,SMALL,FORD,4576,6139,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,86121,AMERICAN,LARGE,GM,8696,8484,0
MANHEIM,5,TOYOTA,AUTO,Alloy,83025,ASIAN,SMALL,OTHER,6894,10206,0
MANHEIM,3,TOYOTA,AUTO,Covers,81311,ASIAN,SMALL,OTHER,8739,11335,0
OTHER,6,KIA,AUTO,NULL,83675,ASIAN,MEDIUM,OTHER,6142,8471,1
MANHEIM,2,CHEVROLET,AUTO,Alloy,69762,AMERICAN,MEDIUM,GM,9357,9056,0
MANHEIM,5,FORD,AUTO,Alloy,71399,AMERICAN,MEDIUM,FORD,4797,6633,0
ADESA,3,DODGE,AUTO,Covers,77471,AMERICAN,SPECIAL,CHRYSLER,6836,8880,0
MANHEIM,4,SUZUKI,AUTO,Alloy,69853,ASIAN,SMALL,OTHER,4310,3827,0
ADESA,5,FORD,AUTO,Alloy,63187,AMERICAN,SMALL,FORD,5168,7101,0
ADESA,3,SUZUKI,AUTO,Covers,52037,ASIAN,SMALL,OTHER,5427,4882,0
ADESA,3,KIA,AUTO,Covers,49766,ASIAN,MEDIUM,OTHER,5904,5489,1
OTHER,5,CHEVROLET,AUTO,Alloy,75006,AMERICAN,SMALL,GM,5603,6994,1
MANHEIM,5,DODGE,AUTO,Alloy,80347,AMERICAN,LARGE,CHRYSLER,9156,12086,0
MANHEIM,6,DODGE,AUTO,Alloy,90603,AMERICAN,MEDIUM,CHRYSLER,10220,11906,0
OTHER,2,SUZUKI,AUTO,Covers,43950,ASIAN,MEDIUM,OTHER,8325,11220,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,86667,AMERICAN,MEDIUM,GM,7920,10345,0
MANHEIM,7,GMC,AUTO,Alloy,93039,AMERICAN,MEDIUM,GM,6128,9093,0
OTHER,4,NISSAN,AUTO,Covers,83462,ASIAN,MEDIUM,OTHER,8577,11243,0
ADESA,5,DODGE,AUTO,Covers,76331,AMERICAN,SPECIAL,CHRYSLER,6443,7754,0
ADESA,5,CHEVROLET,AUTO,Alloy,88012,AMERICAN,MEDIUM,GM,9419,10808,0
ADESA,4,KIA,AUTO,NULL,81101,ASIAN,SMALL,OTHER,3982,6926,1
ADESA,5,DODGE,AUTO,Covers,83973,AMERICAN,SPECIAL,CHRYSLER,5901,7437,0
OTHER,6,GMC,AUTO,Alloy,86778,AMERICAN,LARGE,GM,8501,10954,0
MANHEIM,5,CHEVROLET,AUTO,Alloy,77663,AMERICAN,MEDIUM,GM,8687,8209,0
OTHER,6,CHEVROLET,AUTO,Alloy,89999,AMERICAN,MEDIUM,GM,8248,10126,0
OTHER,2,DODGE,AUTO,Covers,48145,AMERICAN,MEDIUM,CHRYSLER,8258,11114,0
OTHER,4,SUZUKI,AUTO,Covers,25861,ASIAN,MEDIUM,OTHER,5360,7502,0
MANHEIM,3,CHEVROLET,AUTO,Covers,85087,AMERICAN,MEDIUM,GM,7160,6959,0
MANHEIM,4,CHRYSLER,AUTO,Alloy,62119,AMERICAN,MEDIUM,CHRYSLER,7813,7576,0
OTHER,4,BUICK,AUTO,Alloy,58484,AMERICAN,LARGE,GM,9980,11426,0
MANHEIM,2,FORD,AUTO,Covers,67348,AMERICAN,SMALL,FORD,8484,8284,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,83685,AMERICAN,MEDIUM,GM,8497,8494,0
MANHEIM,5,CHRYSLER,AUTO,Covers,87848,AMERICAN,SPECIAL,CHRYSLER,5803,7521,1
MANHEIM,6,NISSAN,AUTO,Alloy,73045,ASIAN,MEDIUM,OTHER,5900,5667,1
OTHER,6,JEEP,AUTO,Alloy,61715,AMERICAN,MEDIUM,CHRYSLER,9600,10522,0
MANHEIM,4,MERCURY,AUTO,Covers,80905,AMERICAN,MEDIUM,FORD,4724,4475,0
MANHEIM,3,DODGE,AUTO,Alloy,83550,AMERICAN,MEDIUM,CHRYSLER,11161,12858,0
MANHEIM,2,FORD,AUTO,Covers,79424,AMERICAN,MEDIUM,FORD,10351,13023,0
MANHEIM,7,FORD,AUTO,Covers,94785,AMERICAN,SMALL,FORD,3470,3482,0
ADESA,3,CHEVROLET,AUTO,Alloy,83216,AMERICAN,LARGE,GM,9971,12660,0
MANHEIM,4,DODGE,AUTO,Covers,50455,AMERICAN,MEDIUM,CHRYSLER,7044,9366,0
MANHEIM,8,MAZDA,AUTO,Covers,87754,ASIAN,SMALL,OTHER,3289,4877,0
ADESA,6,GMC,AUTO,Alloy,70491,AMERICAN,MEDIUM,GM,6483,6453,0
OTHER,6,NISSAN,AUTO,Alloy,78960,ASIAN,MEDIUM,OTHER,8809,10805,0
ADESA,5,MAZDA,AUTO,Alloy,82467,ASIAN,SMALL,OTHER,6752,6955,0
ADESA,4,DODGE,AUTO,Covers,88902,AMERICAN,SPECIAL,CHRYSLER,7449,10169,0
MANHEIM,7,HYUNDAI,AUTO,Alloy,58338,ASIAN,MEDIUM,OTHER,4478,4133,0
ADESA,6,CHEVROLET,AUTO,Covers,74098,AMERICAN,LARGE,GM,10383,9437,0
MANHEIM,5,FORD,AUTO,Alloy,94182,AMERICAN,MEDIUM,FORD,4856,6869,0
OTHER,4,DODGE,AUTO,NULL,84945,AMERICAN,MEDIUM,CHRYSLER,5825,8019,1
MANHEIM,5,DODGE,AUTO,Alloy,76582,AMERICAN,MEDIUM,CHRYSLER,4155,6203,0
MANHEIM,9,CHEVROLET,AUTO,Covers,91886,AMERICAN,LARGE,GM,5719,9616,0
MANHEIM,5,DODGE,AUTO,Alloy,87042,AMERICAN,SPECIAL,CHRYSLER,7730,10262,1
MANHEIM,4,DODGE,AUTO,Covers,73279,AMERICAN,MEDIUM,CHRYSLER,5528,7863,0
MANHEIM,3,CHRYSLER,AUTO,Alloy,58018,AMERICAN,SPECIAL,CHRYSLER,11787,11615,0
MANHEIM,4,JEEP,AUTO,Alloy,73802,AMERICAN,SMALL,CHRYSLER,9613,9059,0
OTHER,9,BUICK,AUTO,Covers,65599,AMERICAN,MEDIUM,GM,4932,5944,0
ADESA,3,CHEVROLET,AUTO,Covers,83154,AMERICAN,LARGE,GM,8107,7907,0
MANHEIM,5,MAZDA,AUTO,NULL,72254,ASIAN,MEDIUM,OTHER,6897,6603,1
OTHER,4,CHEVROLET,AUTO,Alloy,71655,AMERICAN,LARGE,GM,6483,6140,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,82067,AMERICAN,LARGE,GM,14853,16721,0
OTHER,1,DODGE,AUTO,Covers,54184,AMERICAN,MEDIUM,CHRYSLER,7861,8338,0
MANHEIM,8,CHEVROLET,AUTO,Alloy,107879,AMERICAN,SMALL,GM,3329,5177,0
MANHEIM,5,CHEVROLET,AUTO,Covers,78598,AMERICAN,LARGE,GM,4811,4362,0
OTHER,1,CHRYSLER,AUTO,Covers,45692,AMERICAN,MEDIUM,CHRYSLER,7195,7772,0
ADESA,7,HYUNDAI,AUTO,Covers,54320,ASIAN,MEDIUM,OTHER,4143,6240,1
MANHEIM,6,CHEVROLET,AUTO,Alloy,94112,AMERICAN,LARGE,GM,4363,5963,0
OTHER,2,DODGE,AUTO,Covers,49603,AMERICAN,MEDIUM,CHRYSLER,8166,11058,0
MANHEIM,3,DODGE,AUTO,Covers,42350,AMERICAN,MEDIUM,CHRYSLER,6461,6418,0
OTHER,4,DODGE,AUTO,Covers,73840,AMERICAN,SPECIAL,CHRYSLER,5725,7491,0
OTHER,3,CHEVROLET,AUTO,NULL,65579,AMERICAN,SMALL,GM,6987,8943,1
OTHER,1,DODGE,AUTO,Covers,52405,AMERICAN,MEDIUM,CHRYSLER,9208,9632,1
MANHEIM,3,FORD,AUTO,Alloy,80693,AMERICAN,MEDIUM,FORD,6668,8894,0
OTHER,7,DODGE,AUTO,Alloy,61265,AMERICAN,LARGE,CHRYSLER,4717,4497,0
MANHEIM,3,DODGE,AUTO,Covers,59634,AMERICAN,SPECIAL,CHRYSLER,8411,8260,0
MANHEIM,5,CHRYSLER,AUTO,Alloy,79453,AMERICAN,MEDIUM,CHRYSLER,7237,9049,1
ADESA,5,PONTIAC,AUTO,Covers,64776,AMERICAN,LARGE,GM,5270,5006,0
MANHEIM,5,NISSAN,AUTO,Covers,78296,ASIAN,MEDIUM,OTHER,7330,9087,0
OTHER,2,CHRYSLER,AUTO,Alloy,52029,AMERICAN,MEDIUM,CHRYSLER,9218,12024,0
MANHEIM,4,CHRYSLER,AUTO,Special,81076,AMERICAN,MEDIUM,CHRYSLER,6788,9745,1
MANHEIM,3,CHEVROLET,AUTO,Covers,69030,AMERICAN,SMALL,GM,6802,9787,0
MANHEIM,3,CHEVROLET,AUTO,Covers,69809,AMERICAN,LARGE,GM,7674,7501,0
ADESA,2,HYUNDAI,AUTO,Covers,61751,ASIAN,MEDIUM,OTHER,10276,13203,0
ADESA,3,PONTIAC,AUTO,Covers,82388,AMERICAN,MEDIUM,GM,9438,11836,0
MANHEIM,5,JEEP,AUTO,Special,58780,AMERICAN,SMALL,CHRYSLER,7875,7680,0
MANHEIM,3,CHRYSLER,AUTO,Covers,89624,AMERICAN,SPECIAL,CHRYSLER,11179,10716,0
ADESA,4,FORD,AUTO,Alloy,63518,AMERICAN,SPECIAL,FORD,11382,13572,0
MANHEIM,3,DODGE,AUTO,Covers,61714,AMERICAN,SPECIAL,CHRYSLER,8170,7568,0
MANHEIM,1,FORD,AUTO,Alloy,9446,AMERICAN,LARGE,FORD,30114,31599,1
OTHER,4,PONTIAC,AUTO,Covers,70715,AMERICAN,MEDIUM,GM,8084,7681,0
MANHEIM,9,FORD,AUTO,Alloy,56156,AMERICAN,SMALL,FORD,3138,4693,0
OTHER,8,DODGE,AUTO,Alloy,91710,AMERICAN,MEDIUM,CHRYSLER,4747,6417,1
OTHER,3,CHRYSLER,AUTO,Covers,57874,AMERICAN,MEDIUM,CHRYSLER,7107,9373,0
OTHER,2,FORD,AUTO,Alloy,90584,AMERICAN,MEDIUM,FORD,14553,14870,1
OTHER,5,PONTIAC,AUTO,Covers,88871,AMERICAN,LARGE,GM,6024,5814,0
ADESA,4,DODGE,AUTO,Covers,64222,AMERICAN,SPECIAL,CHRYSLER,6287,5763,0
MANHEIM,6,MERCURY,AUTO,Alloy,91185,AMERICAN,MEDIUM,FORD,4886,7187,0
MANHEIM,4,CHEVROLET,AUTO,Alloy,73678,AMERICAN,MEDIUM,GM,7371,9606,0
OTHER,2,DODGE,AUTO,Covers,35923,AMERICAN,MEDIUM,CHRYSLER,9677,12945,0
MANHEIM,5,CHEVROLET,AUTO,Covers,75158,AMERICAN,MEDIUM,GM,8123,10321,1
MANHEIM,5,DODGE,AUTO,Alloy,71527,AMERICAN,MEDIUM,CHRYSLER,8417,8055,0
MANHEIM,4,CHEVROLET,AUTO,Covers,79916,AMERICAN,MEDIUM,GM,8242,10612,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,74583,AMERICAN,LARGE,GM,10991,13454,1
OTHER,3,CHEVROLET,AUTO,Covers,67874,AMERICAN,MEDIUM,GM,8242,10511,0
MANHEIM,2,CHEVROLET,AUTO,Alloy,75891,AMERICAN,LARGE,GM,9386,8914,0
MANHEIM,4,CHRYSLER,AUTO,Covers,82030,AMERICAN,MEDIUM,CHRYSLER,5937,8327,0
ADESA,7,TOYOTA,AUTO,Alloy,87299,ASIAN,MEDIUM,OTHER,6124,8017,0
MANHEIM,4,CHEVROLET,AUTO,Covers,85817,AMERICAN,MEDIUM,GM,9233,8770,0
OTHER,2,DODGE,AUTO,Covers,46893,AMERICAN,MEDIUM,CHRYSLER,8628,11156,0
OTHER,2,DODGE,AUTO,Alloy,51232,AMERICAN,MEDIUM,CHRYSLER,7439,10670,0
MANHEIM,7,CHRYSLER,AUTO,Alloy,95699,AMERICAN,MEDIUM,CHRYSLER,3662,6491,1
ADESA,5,FORD,AUTO,Alloy,61164,AMERICAN,SPECIAL,FORD,8240,7813,0
OTHER,3,CHRYSLER,AUTO,NULL,65930,AMERICAN,MEDIUM,CHRYSLER,6837,6723,1
OTHER,5,DODGE,AUTO,Alloy,71967,AMERICAN,LARGE,CHRYSLER,7827,7129,0
OTHER,3,DODGE,AUTO,Covers,69313,AMERICAN,SPECIAL,CHRYSLER,10447,10344,0
ADESA,5,CHRYSLER,AUTO,Alloy,60919,AMERICAN,MEDIUM,CHRYSLER,5012,5113,0
ADESA,1,CHEVROLET,AUTO,NULL,30471,AMERICAN,SMALL,GM,7629,10316,1
OTHER,7,HONDA,AUTO,Alloy,90012,ASIAN,LARGE,OTHER,8387,9916,1
MANHEIM,3,CHEVROLET,AUTO,Covers,62505,AMERICAN,LARGE,GM,9218,11149,0
