@relation 'train_dataset_4_unbalanced_normalized-weka.filters.unsupervised.attribute.NumericToNominal-R1,3,4,5,7,8,9,18,20,22-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1'

@attribute Auction {MANHEIM,OTHER,ADESA}
@attribute VehicleAge numeric
@attribute Make {CHEVROLET,KIA,DODGE,FORD,SUZUKI,HONDA,CHRYSLER,NISSAN,MAZDA,SATURN,PONTIAC,MITSUBISHI,JEEP,TOYOTA,HYUNDAI,BUICK,GMC,MERCURY,SCION,ISUZU,OLDSMOBILE,VOLKSWAGEN,ACURA,INFINITI,VOLVO,MINI,SUBARU,LINCOLN,LEXUS,CADILLAC,PLYMOUTH}
@attribute Transmission {AUTO,MANUAL,NULL,Manual}
@attribute WheelType {Covers,Alloy,Special,NULL}
@attribute VehOdo numeric
@attribute Nationality {AMERICAN,ASIAN,OTHER,NULL}
@attribute Size {MEDIUM,SPECIAL,SMALL,LARGE,NULL}
@attribute TopThreeAmericanName {GM,OTHER,CHRYSLER,FORD,NULL}
@attribute MMRAcquisitionAuctionAveragePrice numeric
@attribute MMRAcquisitionAuctionCleanPrice numeric
@attribute MMRAcquisitionRetailAveragePrice numeric
@attribute MMRAcquisitonRetailCleanPrice numeric
@attribute MMRCurrentAuctionAveragePrice numeric
@attribute MMRCurrentAuctionCleanPrice numeric
@attribute MMRCurrentRetailAveragePrice numeric
@attribute MMRCurrentRetailCleanPrice numeric
@attribute VNST {VA,FL,TX,NC,IL,CA,AZ,CO,OK,PA,NJ,TN,IN,SC,MO,OR,GA,IA,KY,UT,MD,AL,WV,OH,AR,LA,NM,NH,MA,WA,NV,MS,MN,NE,ID,MI,NY}
@attribute VehBCost numeric
@attribute IsOnlineSale {0,1}
@attribute WarrantyCost numeric
@attribute IsBadBuy {0,1}

@data
MANHEIM,0.444444,DODGE,AUTO,NULL,0.387756,AMERICAN,SPECIAL,CHRYSLER,0.200442,0.22684,0.200425,0.220141,0.182955,0.214134,0.249051,0.275682,NC,0.196159,0,0.072911,0
OTHER,0.444444,DODGE,AUTO,Alloy,0.723957,AMERICAN,MEDIUM,CHRYSLER,0.173891,0.209569,0.249329,0.27446,0.189489,0.222989,0.271156,0.288923,UT,0.139024,0,0.147953,0
MANHEIM,0.555556,CHRYSLER,AUTO,Covers,0.675216,AMERICAN,MEDIUM,CHRYSLER,0.082295,0.103569,0.152691,0.166549,0.087093,0.109473,0.156622,0.168532,TX,0.10797,0,0.131751,0
OTHER,0.333333,KIA,AUTO,Covers,0.465606,ASIAN,MEDIUM,OTHER,0.090275,0.107286,0.090259,0.104119,0.103527,0.121573,0.103507,0.119267,SC,0.129851,0,0.006111,0
MANHEIM,0.333333,TOYOTA,AUTO,Covers,0.489125,ASIAN,MEDIUM,OTHER,0.324588,0.34318,0.324571,0.333049,0.334427,0.353692,0.334407,0.347007,AZ,0.222681,0,0.006111,0
MANHEIM,0.222222,DODGE,AUTO,Covers,0.564125,AMERICAN,MEDIUM,CHRYSLER,0.203169,0.218763,0.269369,0.275917,0.2096,0.229066,0.275687,0.285075,AZ,0.164552,0,0.079306,0
MANHEIM,0.888889,FORD,AUTO,Alloy,0.621749,AMERICAN,MEDIUM,FORD,0.035966,0.058631,0.03596,0.056906,0.046418,0.06476,0.144784,0.201734,CO,0.083436,0,0.107732,0
MANHEIM,0.333333,PONTIAC,AUTO,Alloy,0.680419,AMERICAN,LARGE,GM,0.185143,0.209904,0.257302,0.270568,0.216248,0.246886,0.278725,0.30716,TX,0.151622,0,0.240193,0
MANHEIM,0.666667,MITSUBISHI,AUTO,Covers,0.543457,ASIAN,SMALL,OTHER,0.046644,0.063019,0.046645,0.06115,0.053998,0.069187,0.05398,0.067877,CA,0.101671,0,0.052729,0
MANHEIM,0.666667,DODGE,MANUAL,Covers,0.523374,AMERICAN,LARGE,CHRYSLER,0.08818,0.113098,0.088159,0.109769,0.101462,0.127293,0.101438,0.124888,FL,0.121011,0,0.052729,0
OTHER,0.555556,CHRYSLER,AUTO,Alloy,0.578175,AMERICAN,MEDIUM,CHRYSLER,0.099231,0.123662,0.099216,0.120015,0.127457,0.152124,0.180771,0.192465,FL,0.117364,0,0.107021,0
MANHEIM,0.444444,CHEVROLET,AUTO,Alloy,0.665386,AMERICAN,MEDIUM,GM,0.283742,0.342034,0.365103,0.398644,0.271179,0.316733,0.340929,0.376886,CA,0.17704,0,0.214895,0
MANHEIM,0.444444,DODGE,AUTO,Alloy,0.367826,AMERICAN,SMALL,CHRYSLER,0.150508,0.175944,0.187108,0.205588,0.162267,0.188774,0.205308,0.226531,VA,0.160795,0,0.083002,0
MANHEIM,0.444444,PONTIAC,AUTO,Alloy,0.417541,AMERICAN,LARGE,GM,0.133906,0.164212,0.209037,0.224033,0.160241,0.190293,0.228464,0.248901,NV,0.164552,0,0.147527,0
OTHER,0.222222,KIA,AUTO,Alloy,0.400399,ASIAN,MEDIUM,OTHER,0.18652,0.191711,0.186525,0.186062,0.198371,0.204647,0.198371,0.200784,NC,0.149744,0,0.022882,0
ADESA,0.222222,DODGE,AUTO,Covers,0.334136,AMERICAN,MEDIUM,CHRYSLER,0.193295,0.212335,0.262937,0.269136,0.205357,0.227829,0.277677,0.289772,OH,0.199695,0,0.052871,0
MANHEIM,0.555556,GMC,AUTO,Alloy,0.476067,AMERICAN,LARGE,GM,0.227568,0.261633,0.227561,0.253918,0.244958,0.299491,0.244939,0.293844,AZ,0.220029,0,0.112138,0
OTHER,0.444444,PONTIAC,AUTO,NULL,0.678273,AMERICAN,SPECIAL,GM,0.114588,0.152251,0.114578,0.147765,0.092439,0.12226,0.180509,0.202583,SC,0.132062,0,0.658044,0
MANHEIM,0.333333,DODGE,AUTO,Covers,0.513013,AMERICAN,SPECIAL,CHRYSLER,0.162466,0.198251,0.162472,0.192416,0.174667,0.211082,0.174668,0.207105,AZ,0.140903,0,0.134878,0
MANHEIM,0.666667,HYUNDAI,AUTO,Covers,0.507458,ASIAN,MEDIUM,OTHER,0.055428,0.072828,0.055415,0.070693,0.320284,0.359467,0.320264,0.352678,FL,0.103329,0,0.052729,0
ADESA,0.666667,CHRYSLER,AUTO,Alloy,0.514979,AMERICAN,LARGE,CHRYSLER,0.085883,0.114384,0.085874,0.111025,0.108025,0.14503,0.108012,0.142275,CA,0.130957,0,0.149659,0
MANHEIM,0.333333,FORD,AUTO,Covers,0.499585,AMERICAN,MEDIUM,FORD,0.129141,0.156275,0.197714,0.224335,0.154669,0.184161,0.216233,0.239058,CO,0.138471,0,0.051592,0
OTHER,0.333333,DODGE,AUTO,Covers,0.41241,AMERICAN,MEDIUM,CHRYSLER,0.131695,0.149149,0.131694,0.144751,0.150143,0.167056,0.150127,0.16391,MD,0.11217,0,0.088687,0
MANHEIM,0.444444,CHRYSLER,AUTO,Alloy,0.645313,AMERICAN,MEDIUM,CHRYSLER,0.10922,0.128301,0.191841,0.196158,0.119566,0.152729,0.189728,0.214625,NC,0.120237,0,0.115122,0
MANHEIM,0.666667,NISSAN,AUTO,Alloy,0.583685,ASIAN,MEDIUM,OTHER,0.264453,0.281558,0.264452,0.273255,0.27695,0.295036,0.276944,0.289472,FL,0.227102,0,0.135873,0
MANHEIM,0.222222,FORD,AUTO,Alloy,0.654889,AMERICAN,MEDIUM,FORD,0.261754,0.313361,0.346073,0.372125,0.263287,0.314671,0.338414,0.379734,CA,0.177924,0,0.14838,0
MANHEIM,0.666667,CHRYSLER,AUTO,Covers,0.750153,AMERICAN,MEDIUM,CHRYSLER,0.071158,0.091775,0.07115,0.089076,0.059457,0.072515,0.12831,0.13538,TN,0.094488,0,0.190591,0
ADESA,0.333333,DODGE,AUTO,Covers,0.669138,AMERICAN,MEDIUM,CHRYSLER,0.150508,0.175944,0.187108,0.205588,0.1926,0.225107,0.253477,0.268087,CA,0.156374,0,0.065094,0
MANHEIM,0.333333,FORD,AUTO,Alloy,0.72677,AMERICAN,SMALL,FORD,0.292095,0.333566,0.292093,0.323732,0.308093,0.348852,0.308085,0.34226,CO,0.165326,0,0.147953,0
MANHEIM,0.444444,CHEVROLET,AUTO,Covers,0.70667,AMERICAN,LARGE,GM,0.110081,0.133611,0.110086,0.129684,0.132605,0.161996,0.132605,0.158939,FL,0.121011,0,0.240193,0
ADESA,0.222222,CHEVROLET,AUTO,Covers,0.535584,AMERICAN,LARGE,GM,0.183966,0.205908,0.242419,0.258915,0.181936,0.202337,0.246301,0.27126,OH,0.171735,0,0.176379,0
MANHEIM,0.222222,DODGE,AUTO,Covers,0.744292,AMERICAN,SPECIAL,CHRYSLER,0.23417,0.264763,0.313595,0.331894,0.28453,0.328915,0.360179,0.387179,FL,0.184002,0,0.184906,0
MANHEIM,0.333333,PONTIAC,AUTO,Alloy,0.645249,AMERICAN,MEDIUM,GM,0.207331,0.231283,0.281887,0.281894,0.220236,0.251231,0.269349,0.280229,TX,0.177593,0,0.081865,0
MANHEIM,0.333333,CHRYSLER,AUTO,Alloy,0.42839,AMERICAN,MEDIUM,CHRYSLER,0.277542,0.319956,0.277528,0.310522,0.288066,0.33084,0.288049,0.324598,TX,0.177151,0,0.088687,0
ADESA,0.555556,BUICK,AUTO,Covers,0.611613,AMERICAN,MEDIUM,GM,0.107211,0.136881,0.107216,0.132848,0.07609,0.098941,0.076085,0.097057,AZ,0.116037,0,0.214895,0
ADESA,0.444444,DODGE,AUTO,Covers,0.576146,AMERICAN,MEDIUM,CHRYSLER,0.13448,0.153928,0.134485,0.149397,0.147088,0.167469,0.147089,0.16431,FL,0.087857,0,0.107021,0
ADESA,0.444444,PONTIAC,AUTO,Alloy,0.634347,AMERICAN,MEDIUM,GM,0.165021,0.192745,0.23293,0.246986,0.171018,0.198543,0.237736,0.253123,AZ,0.177703,0,0.115122,0
MANHEIM,0.222222,CHRYSLER,AUTO,Covers,0.49541,AMERICAN,MEDIUM,CHRYSLER,0.202164,0.215689,0.264027,0.262029,0.201397,0.228599,0.276577,0.28565,NY,0.168973,0,0.065094,0
MANHEIM,0.444444,CHRYSLER,AUTO,Covers,0.595525,AMERICAN,MEDIUM,CHRYSLER,0.109134,0.129587,0.18501,0.196158,0.113739,0.134827,0.186742,0.199236,TX,0.121674,1,0.131751,0
MANHEIM,0.666667,CHEVROLET,AUTO,Alloy,0.549814,AMERICAN,LARGE,GM,0.185171,0.231255,0.185169,0.224435,0.193647,0.227444,0.19363,0.223144,CA,0.205884,0,0.177516,0
ADESA,0.777778,CHEVROLET,AUTO,Alloy,0.777829,AMERICAN,LARGE,GM,0.195132,0.240114,0.285369,0.306354,0.220547,0.237811,0.322333,0.343535,VA,0.22887,0,0.249574,0
ADESA,0.222222,FORD,AUTO,Alloy,0.713081,AMERICAN,MEDIUM,FORD,0.259142,0.308722,0.333023,0.366826,0.248069,0.297649,0.323747,0.3569,CO,0.180355,0,0.184906,0
OTHER,0.777778,CHEVROLET,AUTO,Covers,0.687543,AMERICAN,SMALL,GM,0.04099,0.060392,0.088372,0.110372,0.053206,0.074605,0.12501,0.176127,AZ,0.094156,0,0.153638,0
MANHEIM,0.333333,PONTIAC,AUTO,Alloy,0.71089,AMERICAN,SPECIAL,GM,0.198232,0.252187,0.198219,0.244751,0.224139,0.283404,0.224117,0.278055,CO,0.142229,0,0.277146,0
ADESA,0.444444,CHEVROLET,AUTO,Alloy,0.715453,AMERICAN,LARGE,GM,0.235289,0.288629,0.319043,0.379608,0.246429,0.291159,0.333674,0.358524,OH,0.172841,0,0.111001,0
MANHEIM,0.444444,CHEVROLET,AUTO,Covers,0.555477,AMERICAN,LARGE,GM,0.150324,0.173239,0.206007,0.227097,0.176138,0.209652,0.237212,0.258194,FL,0.162674,0,0.176379,0
ADESA,0.333333,CHRYSLER,AUTO,Covers,0.557984,AMERICAN,SPECIAL,CHRYSLER,0.12848,0.159294,0.128478,0.154596,0.178316,0.218287,0.178309,0.214175,CA,0.121895,0,0.134878,0
MANHEIM,0.555556,CHRYSLER,MANUAL,Covers,0.58694,AMERICAN,MEDIUM,CHRYSLER,0.100809,0.123942,0.175575,0.18674,0.111872,0.136285,0.17823,0.194114,FL,0.0778,0,0.107021,0
MANHEIM,0.555556,PONTIAC,AUTO,Alloy,0.531111,AMERICAN,MEDIUM,GM,0.065044,0.084789,0.126618,0.142617,0.083529,0.111426,0.15733,0.178725,WA,0.101781,0,0.204093,0
MANHEIM,0.444444,DODGE,AUTO,Alloy,0.709709,AMERICAN,LARGE,CHRYSLER,0.150508,0.175944,0.187108,0.205588,0.162267,0.188774,0.205308,0.226531,CO,0.171846,0,0.203383,0
MANHEIM,0.333333,KIA,AUTO,Alloy,0.526332,ASIAN,SMALL,OTHER,0.087921,0.103876,0.08792,0.100804,0.122394,0.155287,0.122391,0.152343,CA,0.110954,0,0.010091,0
ADESA,0.666667,FORD,AUTO,Alloy,0.497268,AMERICAN,LARGE,FORD,0.216574,0.247939,0.216558,0.240633,0.237123,0.260663,0.237107,0.255746,CO,0.238595,0,0.131325,0
OTHER,0.444444,SATURN,AUTO,Covers,0.576859,AMERICAN,MEDIUM,GM,0.179316,0.218595,0.241728,0.261025,0.185783,0.216004,0.268458,0.290796,CA,0.168531,0,0.134878,0
MANHEIM,0.888889,CHRYSLER,AUTO,Alloy,0.668524,AMERICAN,MEDIUM,CHRYSLER,0.058528,0.068804,0.109821,0.117253,0.083727,0.103121,0.126896,0.138653,GA,0.107197,0,0.174389,0
ADESA,0.222222,FORD,AUTO,Covers,0.646837,AMERICAN,LARGE,FORD,0.230495,0.278484,0.230485,0.270266,0.245976,0.294816,0.24596,0.289248,TX,0.129851,0,0.015208,0
ADESA,0.666667,CHEVROLET,AUTO,Covers,0.699861,AMERICAN,MEDIUM,GM,0.094294,0.107705,0.238299,0.267755,0.084236,0.112966,0.17417,0.233487,PA,0.12311,0,0.092524,0
MANHEIM,0.333333,CHEVROLET,AUTO,Alloy,0.650101,AMERICAN,MEDIUM,GM,0.182129,0.204203,0.25095,0.260673,0.201143,0.223952,0.277075,0.302363,GA,0.154385,0,0.048465,0
MANHEIM,0.777778,CHEVROLET,AUTO,Alloy,0.739539,AMERICAN,SPECIAL,GM,0.065733,0.094877,0.133953,0.150502,0.055441,0.07345,0.125691,0.167633,TX,0.101892,0,0.700682,0
MANHEIM,0.333333,DODGE,AUTO,Covers,0.416044,AMERICAN,MEDIUM,CHRYSLER,0.131925,0.15049,0.131907,0.146057,0.152293,0.164939,0.152275,0.161812,AZ,0.1188,0,0.088687,0
ADESA,0.333333,CHEVROLET,AUTO,Alloy,0.706282,AMERICAN,LARGE,GM,0.346059,0.366096,0.346047,0.355299,0.294317,0.319676,0.294309,0.313655,AZ,0.232517,0,0.111001,0
MANHEIM,0.555556,HONDA,AUTO,Covers,0.692584,ASIAN,MEDIUM,OTHER,0.192893,0.21527,0.253262,0.27107,0.193704,0.216829,0.255808,0.275257,GA,0.190965,0,0.018761,0
MANHEIM,0.444444,CHRYSLER,AUTO,Covers,0.668371,AMERICAN,MEDIUM,CHRYSLER,0.150508,0.175944,0.187108,0.205588,0.162267,0.188774,0.205308,0.226531,FL,0.169636,0,0.131751,0
ADESA,0.444444,FORD,AUTO,Covers,0.509306,AMERICAN,MEDIUM,FORD,0.080487,0.103597,0.080478,0.100552,0.092581,0.115468,0.092559,0.113271,CO,0.098466,0,0.051592,0
MANHEIM,0.333333,DODGE,AUTO,Covers,0.768568,AMERICAN,SPECIAL,CHRYSLER,0.255239,0.273286,0.335654,0.336464,0.259016,0.278097,0.329064,0.332867,NC,0.208536,0,0.166003,0
MANHEIM,0.555556,CHEVROLET,AUTO,Covers,0.718429,AMERICAN,LARGE,GM,0.103278,0.133946,0.103282,0.13001,0.100105,0.127733,0.100102,0.125312,TX,0.13383,0,0.240193,0
MANHEIM,0.444444,NISSAN,AUTO,Alloy,0.620919,ASIAN,LARGE,OTHER,0.305471,0.346366,0.374831,0.404972,0.276327,0.320033,0.362091,0.383806,TN,0.233733,0,0.098493,0
OTHER,0.444444,CHEVROLET,AUTO,Covers,0.838113,AMERICAN,MEDIUM,GM,0.14223,0.17486,0.21608,0.234631,0.146353,0.174426,0.209135,0.232512,IL,0.105428,0,0.145395,0
MANHEIM,0.555556,CHEVROLET,AUTO,Covers,0.493092,AMERICAN,LARGE,GM,0.096619,0.12464,0.152346,0.175314,0.104206,0.137632,0.170556,0.203083,FL,0.137587,0,0.147527,0
MANHEIM,0.555556,CHEVROLET,AUTO,Covers,0.668055,AMERICAN,LARGE,GM,0.08307,0.108403,0.083056,0.105198,0.105677,0.13161,0.105655,0.12911,TX,0.119353,0,0.214895,0
MANHEIM,0.777778,SATURN,AUTO,Covers,0.674512,AMERICAN,MEDIUM,GM,0.067742,0.089987,0.133449,0.141838,0.072922,0.097649,0.127105,0.147597,FL,0.100013,0,0.191018,0
MANHEIM,0.333333,CHRYSLER,AUTO,Covers,0.628558,AMERICAN,MEDIUM,CHRYSLER,0.196653,0.217869,0.253156,0.262004,0.206263,0.223842,0.261046,0.281003,NC,0.168089,1,0.098493,0
MANHEIM,0.777778,FORD,AUTO,Alloy,0.781977,AMERICAN,MEDIUM,FORD,0.053017,0.068636,0.052997,0.066625,0.162267,0.188774,0.205308,0.226531,TX,0.086973,0,0.126634,0
MANHEIM,0.444444,CHRYSLER,AUTO,Covers,0.307398,AMERICAN,MEDIUM,CHRYSLER,0.097279,0.115893,0.097276,0.112481,0.110429,0.130043,0.110421,0.127586,GA,0.11869,0,0.059693,0
MANHEIM,0.333333,SUZUKI,AUTO,Covers,0.44739,ASIAN,MEDIUM,OTHER,0.103737,0.131571,0.177249,0.185384,0.101264,0.119648,0.171132,0.186195,FL,0.122116,0,0.006111,0
OTHER,0.666667,PONTIAC,AUTO,Alloy,0.759252,AMERICAN,LARGE,GM,0.127677,0.161837,0.183654,0.210372,0.128165,0.158587,0.181399,0.204732,UT,0.140019,1,0.240193,0
MANHEIM,0.333333,DODGE,AUTO,Covers,0.427533,AMERICAN,MEDIUM,CHRYSLER,0.135599,0.151077,0.135601,0.146635,0.148417,0.166121,0.148398,0.162986,TX,0.125431,0,0.088687,0
MANHEIM,0.333333,NISSAN,AUTO,Alloy,0.599863,ASIAN,LARGE,OTHER,0.381652,0.428388,0.381635,0.415746,0.460781,0.488904,0.460779,0.479689,TX,0.212625,0,0.115122,0
MANHEIM,0.444444,DODGE,AUTO,Covers,0.411481,AMERICAN,MEDIUM,CHRYSLER,0.1544,0.166783,0.210259,0.211477,0.165219,0.182346,0.226998,0.246153,AZ,0.125431,0,0.088687,0
OTHER,0.333333,CHEVROLET,AUTO,Covers,0.635582,AMERICAN,LARGE,GM,0.163557,0.182098,0.163561,0.17672,0.193053,0.21199,0.193054,0.207979,AL,0.156927,0,0.214895,0
ADESA,0.555556,CHEVROLET,AUTO,Covers,0.63514,AMERICAN,SMALL,GM,0.049371,0.06886,0.049355,0.066826,0.06322,0.083762,0.063199,0.082167,CO,0.081889,0,0.098493,0
MANHEIM,0.222222,DODGE,AUTO,Covers,0.41728,AMERICAN,MEDIUM,CHRYSLER,0.209656,0.222731,0.293555,0.292642,0.204056,0.230744,0.28742,0.298091,FL,0.197927,0,0.07689,0
MANHEIM,0.222222,DODGE,AUTO,Covers,0.610603,AMERICAN,SPECIAL,CHRYSLER,0.263591,0.274013,0.326219,0.323908,0.274715,0.293359,0.345696,0.354202,TX,0.222239,0,0.131751,0
MANHEIM,0.555556,CHEVROLET,AUTO,Alloy,0.6032,AMERICAN,MEDIUM,GM,0.175957,0.211162,0.267721,0.282371,0.18287,0.222467,0.26136,0.294569,TX,0.143444,0,0.214895,0
OTHER,0.555556,CHRYSLER,AUTO,Alloy,0.698617,AMERICAN,MEDIUM,CHRYSLER,0.075665,0.098231,0.14105,0.165696,0.104008,0.133178,0.162751,0.180973,SC,0.125431,0,0.111001,0
OTHER,0.444444,FORD,AUTO,Alloy,0.386141,AMERICAN,SPECIAL,FORD,0.23061,0.258866,0.230591,0.251231,0.241818,0.270727,0.241796,0.265614,AZ,0.208978,0,0.022882,0
MANHEIM,0.444444,NISSAN,AUTO,Alloy,0.715092,ASIAN,LARGE,OTHER,0.263247,0.285694,0.334299,0.345731,0.34792,0.388203,0.414945,0.438893,CA,0.207541,0,0.129477,0
MANHEIM,0.333333,CHEVROLET,AUTO,Covers,0.528568,AMERICAN,SMALL,GM,0.141426,0.160831,0.203508,0.217152,0.146579,0.169311,0.214924,0.228415,FL,0.133609,0,0.037806,0
OTHER,0.333333,CHEVROLET,AUTO,Covers,0.432673,AMERICAN,LARGE,GM,0.20469,0.223542,0.26796,0.281366,0.221113,0.241578,0.282208,0.295543,CA,0.171846,0,0.147527,0
MANHEIM,0.333333,FORD,AUTO,Alloy,0.615301,AMERICAN,SMALL,FORD,0.177077,0.215885,0.256186,0.280186,0.186095,0.215262,0.254472,0.278505,TX,0.160463,0,0.065094,0
ADESA,0.444444,FORD,AUTO,Covers,0.750505,AMERICAN,SPECIAL,FORD,0.079367,0.093815,0.079362,0.09106,0.107402,0.130345,0.163065,0.190092,TX,0.111396,0,0.16643,0
MANHEIM,0.444444,DODGE,AUTO,Alloy,0.380397,AMERICAN,LARGE,CHRYSLER,0.246053,0.282732,0.246033,0.274385,0.257036,0.294211,0.257013,0.288648,TX,0.214946,0,0.032831,0
MANHEIM,0.222222,CHEVROLET,AUTO,NULL,0.650858,AMERICAN,MEDIUM,GM,0.15862,0.174832,0.226498,0.248845,0.181484,0.210037,0.242319,0.265264,NC,0.145323,0,0.081865,0
ADESA,0.555556,CHEVROLET,AUTO,Alloy,0.840683,AMERICAN,LARGE,GM,0.18078,0.232038,0.180784,0.225188,0.147795,0.190265,0.230036,0.273534,CO,0.138471,0,0.124929,0
ADESA,0.777778,DODGE,AUTO,Alloy,0.746898,AMERICAN,LARGE,CHRYSLER,0.156496,0.172344,0.236385,0.240859,0.171301,0.210202,0.254786,0.293969,OH,0.2418,0,0.116686,0
MANHEIM,0.777778,FORD,AUTO,Alloy,0.836544,AMERICAN,SMALL,FORD,0.077042,0.088729,0.126326,0.129734,0.047436,0.05508,0.1039,0.106401,TX,0.06487,0,0.167567,0
MANHEIM,0.333333,FORD,AUTO,Alloy,0.692692,AMERICAN,LARGE,FORD,0.255927,0.310622,0.25592,0.301457,0.268351,0.324763,0.268327,0.318627,SC,0.165436,0,0.16643,0
MANHEIM,0.222222,CHEVROLET,AUTO,Covers,0.626871,AMERICAN,MEDIUM,GM,0.154573,0.182321,0.154578,0.176946,0.166888,0.195408,0.166889,0.191716,CO,0.138692,0,0.081865,0
MANHEIM,0.222222,KIA,AUTO,Alloy,0.554431,ASIAN,MEDIUM,OTHER,0.184741,0.196322,0.184744,0.190532,0.199728,0.235171,0.273382,0.332817,GA,0.145986,0,0.037806,0
OTHER,0.444444,MITSUBISHI,AUTO,Covers,0.465696,ASIAN,MEDIUM,OTHER,0.153424,0.178576,0.153409,0.173305,0.169151,0.18966,0.169142,0.18607,CA,0.147644,0,0.006111,0
MANHEIM,0.333333,CHEVROLET,AUTO,Covers,0.635213,AMERICAN,MEDIUM,GM,0.189333,0.206467,0.249462,0.261376,0.184765,0.20814,0.245253,0.259643,AZ,0.127641,0,0.081865,0
OTHER,0.444444,PONTIAC,AUTO,Alloy,0.653392,AMERICAN,LARGE,GM,0.135283,0.168683,0.135282,0.163712,0.129522,0.160346,0.129515,0.157315,AZ,0.136703,0,0.214895,0
MANHEIM,0.444444,MITSUBISHI,AUTO,Alloy,0.594768,ASIAN,MEDIUM,OTHER,0.121534,0.140681,0.121515,0.136539,0.125506,0.158064,0.190252,0.217448,AZ,0.123552,0,0.015208,0
OTHER,0.111111,CHRYSLER,AUTO,Covers,0.354489,AMERICAN,MEDIUM,CHRYSLER,0.236983,0.241707,0.331083,0.31989,0.233785,0.235419,0.30544,0.302738,OK,0.198369,0,0.052871,0
ADESA,0.333333,PONTIAC,AUTO,Alloy,0.412095,AMERICAN,MEDIUM,GM,0.190941,0.220747,0.190937,0.214239,0.163833,0.190348,0.247112,0.269386,NC,0.157369,0,0.07689,0
MANHEIM,0.333333,CHRYSLER,AUTO,Covers,0.422727,AMERICAN,MEDIUM,CHRYSLER,0.130404,0.151804,0.130392,0.147338,0.148531,0.169971,0.148529,0.166758,CO,0.113054,0,0.088687,0
MANHEIM,0.111111,DODGE,AUTO,Covers,0.439112,AMERICAN,MEDIUM,CHRYSLER,0.222975,0.233519,0.222963,0.226645,0.231918,0.242843,0.231895,0.238258,SC,0.174277,0,0.065094,0
MANHEIM,0.444444,CHEVROLET,AUTO,Covers,0.504815,AMERICAN,SMALL,GM,0.078478,0.093117,0.166272,0.194199,0.097163,0.113488,0.166732,0.194639,FL,0.107749,0,0.037806,0
ADESA,0.555556,DODGE,AUTO,Alloy,0.58474,AMERICAN,MEDIUM,CHRYSLER,0.173747,0.202554,0.244332,0.262029,0.196419,0.231019,0.266965,0.287174,AZ,0.226439,0,0.107021,0
MANHEIM,0.333333,CHRYSLER,AUTO,Covers,0.591458,AMERICAN,MEDIUM,CHRYSLER,0.132757,0.157561,0.132757,0.152913,0.123186,0.146047,0.180378,0.200759,FL,0.121011,0,0.131751,0
MANHEIM,0.111111,CHEVROLET,AUTO,Alloy,0.753815,AMERICAN,LARGE,GM,0.225329,0.252997,0.303522,0.327474,0.240206,0.265805,0.325266,0.344834,CO,0.163005,0,0.240193,0
MANHEIM,0.666667,PONTIAC,AUTO,Covers,0.579284,AMERICAN,LARGE,GM,0.11542,0.135847,0.164226,0.19327,0.120499,0.14591,0.176973,0.19931,FL,0.15118,0,0.176379,0
MANHEIM,0.555556,SUZUKI,AUTO,Alloy,0.616744,ASIAN,SMALL,OTHER,0.128337,0.142805,0.128319,0.138599,0.130823,0.145415,0.130824,0.142675,NC,0.109517,0,0.115122,0
MANHEIM,0.555556,FORD,AUTO,Alloy,0.520479,AMERICAN,LARGE,FORD,0.157242,0.192885,0.247309,0.281366,0.156818,0.18768,0.230874,0.248376,TX,0.152506,0,0.010091,0
OTHER,0.111111,DODGE,AUTO,Covers,0.343749,AMERICAN,MEDIUM,CHRYSLER,0.191084,0.198726,0.19107,0.192868,0.202387,0.214024,0.253136,0.259743,OK,0.158585,0,0.032831,0
MANHEIM,0.333333,CHEVROLET,AUTO,Covers,0.60678,AMERICAN,LARGE,GM,0.205695,0.230501,0.273488,0.29111,0.216672,0.237454,0.275163,0.295918,TX,0.181571,0,0.214895,0
MANHEIM,0.555556,PONTIAC,AUTO,Covers,0.455605,AMERICAN,MEDIUM,GM,0.060767,0.082637,0.11907,0.142491,0.08995,0.114506,0.162201,0.1779,TN,0.117143,0,0.17112,0
MANHEIM,0.333333,FORD,AUTO,Alloy,0.724588,AMERICAN,LARGE,FORD,0.20868,0.261744,0.208664,0.254018,0.200153,0.237316,0.264949,0.292245,AZ,0.177151,0,0.16643,0
OTHER,0.222222,CHRYSLER,AUTO,Covers,0.451322,AMERICAN,SPECIAL,CHRYSLER,0.180665,0.219574,0.180651,0.213109,0.177241,0.214107,0.25861,0.297517,CA,0.138692,0,0.112138,0
MANHEIM,0.555556,CHRYSLER,AUTO,Alloy,0.468312,AMERICAN,MEDIUM,CHRYSLER,0.182215,0.207361,0.182219,0.201256,0.1997,0.227774,0.19968,0.223469,TN,0.191296,0,0.135731,0
MANHEIM,0.555556,DODGE,AUTO,Alloy,0.644934,AMERICAN,SPECIAL,CHRYSLER,0.13603,0.144566,0.19006,0.193646,0.117812,0.159522,0.184175,0.217148,FL,0.128746,0,0.165009,0
MANHEIM,0.555556,KIA,MANUAL,Alloy,0.553142,ASIAN,MEDIUM,OTHER,0.17412,0.199871,0.253449,0.267328,0.151133,0.180448,0.230481,0.252223,CA,0.152396,0,0.148664,0
